Plate	Row	Column	Replicate	Run	Time	OD	Prestwick_ID	Chemical_name	Strain
1	1	1	1	1	1	0.182	Prestw-1041	Etomidate	NT5004
1	1	1	1	1	2	0.187	Prestw-1041	Etomidate	NT5004
1	1	1	1	1	3	0.199	Prestw-1041	Etomidate	NT5004
1	1	1	1	1	4	0.221	Prestw-1041	Etomidate	NT5004
1	1	1	1	1	5	0.272	Prestw-1041	Etomidate	NT5004
1	1	1	1	1	6	0.37	Prestw-1041	Etomidate	NT5004
1	1	1	1	1	7	0.505	Prestw-1041	Etomidate	NT5004
1	1	1	1	1	8	0.614	Prestw-1041	Etomidate	NT5004
1	1	1	2	2	0	0.182	Prestw-1041	Etomidate	NT5004
1	1	1	2	2	3	0.186	Prestw-1041	Etomidate	NT5004
1	1	1	2	2	4	0.191	Prestw-1041	Etomidate	NT5004
1	1	1	2	2	5	0.214	Prestw-1041	Etomidate	NT5004
1	1	1	2	2	6	0.272	Prestw-1041	Etomidate	NT5004
1	1	1	2	2	7	0.384	Prestw-1041	Etomidate	NT5004
1	1	1	2	2	8	0.539	Prestw-1041	Etomidate	NT5004
1	1	1	3	3	0	0.185	Prestw-1041	Etomidate	NT5004
1	1	1	3	3	2	0.188	Prestw-1041	Etomidate	NT5004
1	1	1	3	3	3	0.199	Prestw-1041	Etomidate	NT5004
1	1	1	3	3	4	0.227	Prestw-1041	Etomidate	NT5004
1	1	1	3	3	5	0.293	Prestw-1041	Etomidate	NT5004
1	1	1	3	3	6	0.428	Prestw-1041	Etomidate	NT5004
1	1	1	3	3	7	0.604	Prestw-1041	Etomidate	NT5004
1	1	1	3	3	8	0.736	Prestw-1041	Etomidate	NT5004
1	1	10	1	1	1	0.208	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	1	1	2	0.211	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	1	1	3	0.223	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	1	1	4	0.251	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	1	1	5	0.309	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	1	1	6	0.43	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	1	1	7	0.626	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	1	1	8	0.732	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	2	2	0	0.177	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	2	2	3	0.179	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	2	2	4	0.19	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	2	2	5	0.21	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	2	2	6	0.259	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	2	2	7	0.353	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	2	2	8	0.499	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	3	3	0	0.153	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	3	3	2	0.158	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	3	3	3	0.168	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	3	3	4	0.193	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	3	3	5	0.252	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	3	3	6	0.371	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	3	3	7	0.536	Prestw-9	Hydrochlorothiazide	NT5004
1	1	10	3	3	8	0.669	Prestw-9	Hydrochlorothiazide	NT5004
1	1	11	1	1	1	0.212	Prestw-10	Sulfaguanidine	NT5004
1	1	11	1	1	2	0.21	Prestw-10	Sulfaguanidine	NT5004
1	1	11	1	1	3	0.222	Prestw-10	Sulfaguanidine	NT5004
1	1	11	1	1	4	0.249	Prestw-10	Sulfaguanidine	NT5004
1	1	11	1	1	5	0.307	Prestw-10	Sulfaguanidine	NT5004
1	1	11	1	1	6	0.428	Prestw-10	Sulfaguanidine	NT5004
1	1	11	1	1	7	0.607	Prestw-10	Sulfaguanidine	NT5004
1	1	11	1	1	8	0.733	Prestw-10	Sulfaguanidine	NT5004
1	1	11	2	2	0	0.179	Prestw-10	Sulfaguanidine	NT5004
1	1	11	2	2	3	0.18	Prestw-10	Sulfaguanidine	NT5004
1	1	11	2	2	4	0.195	Prestw-10	Sulfaguanidine	NT5004
1	1	11	2	2	5	0.213	Prestw-10	Sulfaguanidine	NT5004
1	1	11	2	2	6	0.259	Prestw-10	Sulfaguanidine	NT5004
1	1	11	2	2	7	0.349	Prestw-10	Sulfaguanidine	NT5004
1	1	11	2	2	8	0.489	Prestw-10	Sulfaguanidine	NT5004
1	1	11	3	3	0	0.152	Prestw-10	Sulfaguanidine	NT5004
1	1	11	3	3	2	0.157	Prestw-10	Sulfaguanidine	NT5004
1	1	11	3	3	3	0.168	Prestw-10	Sulfaguanidine	NT5004
1	1	11	3	3	4	0.195	Prestw-10	Sulfaguanidine	NT5004
1	1	11	3	3	5	0.256	Prestw-10	Sulfaguanidine	NT5004
1	1	11	3	3	6	0.384	Prestw-10	Sulfaguanidine	NT5004
1	1	11	3	3	7	0.554	Prestw-10	Sulfaguanidine	NT5004
1	1	11	3	3	8	0.69	Prestw-10	Sulfaguanidine	NT5004
1	1	12	1	1	1	0.21	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	1	1	2	0.205	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	1	1	3	0.215	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	1	1	4	0.241	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	1	1	5	0.295	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	1	1	6	0.407	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	1	1	7	0.588	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	1	1	8	0.706	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	2	2	0	0.189	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	2	2	3	0.191	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	2	2	4	0.197	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	2	2	5	0.217	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	2	2	6	0.262	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	2	2	7	0.35	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	2	2	8	0.487	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	3	3	0	0.151	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	3	3	2	0.158	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	3	3	3	0.169	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	3	3	4	0.196	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	3	3	5	0.261	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	3	3	6	0.391	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	3	3	7	0.563	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	12	3	3	8	0.698	Prestw-1042	Tridihexethyl chloride	NT5004
1	1	2	1	1	1	0.206	Prestw-1	Azaguanine-8	NT5004
1	1	2	1	1	2	0.206	Prestw-1	Azaguanine-8	NT5004
1	1	2	1	1	3	0.215	Prestw-1	Azaguanine-8	NT5004
1	1	2	1	1	4	0.229	Prestw-1	Azaguanine-8	NT5004
1	1	2	1	1	5	0.256	Prestw-1	Azaguanine-8	NT5004
1	1	2	1	1	6	0.3	Prestw-1	Azaguanine-8	NT5004
1	1	2	1	1	7	0.372	Prestw-1	Azaguanine-8	NT5004
1	1	2	1	1	8	0.424	Prestw-1	Azaguanine-8	NT5004
1	1	2	2	2	0	0.175	Prestw-1	Azaguanine-8	NT5004
1	1	2	2	2	3	0.174	Prestw-1	Azaguanine-8	NT5004
1	1	2	2	2	4	0.173	Prestw-1	Azaguanine-8	NT5004
1	1	2	2	2	5	0.179	Prestw-1	Azaguanine-8	NT5004
1	1	2	2	2	6	0.195	Prestw-1	Azaguanine-8	NT5004
1	1	2	2	2	7	0.221	Prestw-1	Azaguanine-8	NT5004
1	1	2	2	2	8	0.259	Prestw-1	Azaguanine-8	NT5004
1	1	2	3	3	0	0.16	Prestw-1	Azaguanine-8	NT5004
1	1	2	3	3	2	0.164	Prestw-1	Azaguanine-8	NT5004
1	1	2	3	3	3	0.172	Prestw-1	Azaguanine-8	NT5004
1	1	2	3	3	4	0.187	Prestw-1	Azaguanine-8	NT5004
1	1	2	3	3	5	0.215	Prestw-1	Azaguanine-8	NT5004
1	1	2	3	3	6	0.261	Prestw-1	Azaguanine-8	NT5004
1	1	2	3	3	7	0.336	Prestw-1	Azaguanine-8	NT5004
1	1	2	3	3	8	0.438	Prestw-1	Azaguanine-8	NT5004
1	1	3	1	1	1	0.19	Prestw-2	Allantoin	NT5004
1	1	3	1	1	2	0.194	Prestw-2	Allantoin	NT5004
1	1	3	1	1	3	0.208	Prestw-2	Allantoin	NT5004
1	1	3	1	1	4	0.235	Prestw-2	Allantoin	NT5004
1	1	3	1	1	5	0.292	Prestw-2	Allantoin	NT5004
1	1	3	1	1	6	0.406	Prestw-2	Allantoin	NT5004
1	1	3	1	1	7	0.568	Prestw-2	Allantoin	NT5004
1	1	3	1	1	8	0.674	Prestw-2	Allantoin	NT5004
1	1	3	2	2	0	0.175	Prestw-2	Allantoin	NT5004
1	1	3	2	2	3	0.177	Prestw-2	Allantoin	NT5004
1	1	3	2	2	4	0.183	Prestw-2	Allantoin	NT5004
1	1	3	2	2	5	0.205	Prestw-2	Allantoin	NT5004
1	1	3	2	2	6	0.259	Prestw-2	Allantoin	NT5004
1	1	3	2	2	7	0.362	Prestw-2	Allantoin	NT5004
1	1	3	2	2	8	0.511	Prestw-2	Allantoin	NT5004
